Series ID,Region Name,county_fips,2009,2010,2011,2012,2013,2014,2015,2016
RACEDISPARITY048021,"Bastrop County, TX",48021,25.82749474,25.46371646,27.61268383,26.58194214,27.18032446,26.38452887,29.41576937,33.28444436
RACEDISPARITY029013,"Bates County, MO",29013,17.53728884,23.1802391,10.83274358,12.18406593,17.63570332,22.63486691,21.55222421,32.11240914
RACEDISPARITY051017,"Bath County, VA",51017,0,0,0,0,0,0,0,
RACEDISPARITY021011,"Bath County, KY",21011,41.4765371,50.0399487,31.81342181,30.08938604,30.31876964,29.02263875,25.47967905,24.6343787
RACEDISPARITY005005,"Baxter County, AR",5005,35.85089124,32.21560663,39.4192909,42.52490091,42.01974189,28.32209788,30.1586928,26.5875845
RACEDISPARITY012005,"Bay County, FL",12005,39.61804157,35.61742204,36.56130452,35.96666683,35.13097654,34.90865685,35.34531062,36.3921666
RACEDISPARITY026017,"Bay County, MI",26017,29.24630047,29.06840973,29.94774946,30.38547127,29.03897915,30.52589506,28.03241559,27.26033464
RACEDISPARITY055007,"Bayfield County, WI",55007,45.85350116,34.2322285,25.08003288,29.82528772,19.86653571,11.96467307,23.53670123,18.98849573
RACEDISPARITY048023,"Baylor County, TX",48023,14.50106174,0,0,0,0,0,0,
RACEDISPARITY046005,"Beadle County, SD",46005,48.04589779,30.11386042,23.02881127,25.75974407,29.90125199,29.42080105,24.04363561,23.97932788
RACEDISPARITY016007,"Bear Lake County, ID",16007,10.86832286,13.50569581,16.70130878,17.85047762,22.45999958,11.65604321,5.450332687,3.781860854
RACEDISPARITY045013,"Beaufort County, SC",45013,32.7569477,37.78502576,38.96256954,38.44300449,40.9284208,39.73515606,41.820277,40.42239114
RACEDISPARITY037013,"Beaufort County, NC",37013,27.71095631,25.31779095,27.91102215,30.31812044,28.18462544,24.45096621,26.21202091,26.85248102
RACEDISPARITY022011,"Beauregard Parish, LA",22011,49.7434319,45.09831084,43.00405214,43.07194653,50.49517725,53.11161764,53.47465524,53.52403722
RACEDISPARITY049001,"Beaver County, UT",49001,23.99359317,29.67856173,32.02316183,21.72188255,8.881741035,9.20639568,15.0187217,16.96126102
RACEDISPARITY042007,"Beaver County, PA",42007,56.18033059,52.48722842,52.03810868,49.6168578,48.0158065,50.04571136,51.40057519,52.84919703
