Year,State_FIPS,County_FIPS,Region,Division,County_name,new_1_units,new_2_units,new_3to4_units,new_5_units,total_new_units
2000,16,15,West,Mountain,Boise County                  ,88,0,0,0,88
2000,16,17,West,Mountain,Bonner County                 ,19,4,0,0,23
2000,16,19,West,Mountain,Bonneville County             ,477,54,4,28,563
2000,16,21,West,Mountain,Boundary County               ,31,0,0,0,31
2000,16,23,West,Mountain,Butte County                  ,0,0,0,0,0
2000,16,25,West,Mountain,Camas County                  ,19,2,0,0,21
2000,16,27,West,Mountain,Canyon County                 ,1895,8,70,70,2043
2000,16,29,West,Mountain,Caribou County                ,24,0,0,0,24
2000,16,31,West,Mountain,Cassia County                 ,39,4,0,0,43
2000,16,33,West,Mountain,Clark County                  ,0,0,0,0,0
2000,16,35,West,Mountain,Clearwater County             ,14,0,0,38,52
2000,16,37,West,Mountain,Custer County                 ,3,0,0,0,3
2000,16,39,West,Mountain,Elmore County                 ,137,14,0,44,195
2000,16,41,West,Mountain,Franklin County               ,81,0,0,0,81
2000,16,43,West,Mountain,Fremont County                ,85,0,0,0,85
2000,16,45,West,Mountain,Gem County                    ,77,0,0,36,113
2000,16,47,West,Mountain,Gooding County                ,75,8,0,0,83
2000,16,49,West,Mountain,Idaho County                  ,11,0,0,0,11
2000,16,51,West,Mountain,Jefferson County              ,102,0,0,0,102
2000,16,53,West,Mountain,Jerome County                 ,51,2,0,0,53
2000,16,55,West,Mountain,Kootenai County               ,1058,14,24,78,1174
2000,16,57,West,Mountain,Latah County                  ,74,10,31,12,127
2000,16,59,West,Mountain,Lemhi County                  ,45,0,0,0,45
2000,16,61,West,Mountain,Lewis County                  ,5,0,0,0,5
2000,16,63,West,Mountain,Lincoln County                ,19,0,0,0,19
2000,16,65,West,Mountain,Madison County                ,77,0,0,6,83
2000,16,67,West,Mountain,Minidoka County               ,21,0,0,0,21
2000,16,69,West,Mountain,Nez Perce County              ,94,6,0,29,129
2000,16,71,West,Mountain,Oneida County                 ,33,0,0,0,33
2000,16,73,West,Mountain,Owyhee County                 ,42,0,4,0,46
2000,16,75,West,Mountain,Payette County                ,105,4,3,0,112
2000,16,77,West,Mountain,Power County                  ,12,0,0,0,12
2000,16,79,West,Mountain,Shoshone County               ,13,0,0,0,13
2000,16,81,West,Mountain,Teton County                  ,172,4,32,8,216
2000,16,83,West,Mountain,Twin Falls County             ,260,8,20,0,288
2000,16,85,West,Mountain,Valley County                 ,150,0,9,0,159
2000,16,87,West,Mountain,Washington County             ,18,0,0,0,18
2000,17,1,Midwest,East North Central,Adams County                  ,66,8,19,7,100
2000,17,3,Midwest,East North Central,Alexander County              ,2,0,0,0,2
2000,17,5,Midwest,East North Central,Bond County                   ,52,0,0,54,106
2000,17,7,Midwest,East North Central,Boone County                  ,361,0,4,0,365
2000,17,9,Midwest,East North Central,Brown County                  ,2,0,0,15,17
2000,17,11,Midwest,East North Central,Bureau County                 ,57,0,0,42,99
2000,17,13,Midwest,East North Central,Calhoun County                ,10,0,3,0,13
2000,17,15,Midwest,East North Central,Carroll County                ,66,4,0,0,70
2000,17,17,Midwest,East North Central,Cass County                   ,11,0,0,0,11
2000,17,19,Midwest,East North Central,Champaign County              ,594,24,19,412,1049
2000,17,21,Midwest,East North Central,Christian County              ,86,4,4,5,99
2000,17,23,Midwest,East North Central,Clark County                  ,12,2,0,0,14
2000,17,25,Midwest,East North Central,Clay County                   ,11,0,0,0,11
2000,17,27,Midwest,East North Central,Clinton County                ,81,14,3,0,98
2000,17,29,Midwest,East North Central,Coles County                  ,38,12,3,48,101
2000,17,31,Midwest,East North Central,Cook County                   ,5369,184,1144,5180,11877
2000,17,33,Midwest,East North Central,Crawford County               ,5,0,0,0,5
2000,17,35,Midwest,East North Central,Cumberland County             ,9,2,0,0,11
2000,17,37,Midwest,East North Central,DeKalb County                 ,319,86,4,167,576
2000,17,39,Midwest,East North Central,De Witt County                ,53,0,0,0,53
2000,17,41,Midwest,East North Central,Douglas County                ,32,0,0,0,32
2000,17,43,Midwest,East North Central,DuPage County                 ,3292,4,24,611,3931
